id,name,genre,artists,album,popularity,duration_ms,explicit,Clusters,name_lower
7kr3xZk4yb3YSZ4VFtg2Qt,acoustic,acoustic,Billy Raffoul,1975,58,172199,False,0,acoustic
1kJygfS4eoVziBBI93MSYp,acoustic,acoustic,Billy Raffoul,A Few More Hours at YYZ,57,172202,False,0,acoustic
6lynns69p4zTCRxmmiSY1x,here comes the sun - acoustic,acoustic,"Molly Hocking, Bailey Rushlow",Here Comes the Sun (Acoustic),42,144786,False,0,here comes the sun - acoustic
1RC9slv335IfLce5vt9KTW,acoustic #3,acoustic,The Goo Goo Dolls,Dizzy up the Girl,46,116573,False,0,acoustic #3
5o9L8xBuILoVjLECSBi7Vo,my love mine all mine - acoustic instrumental,acoustic,"Guus Dielissen, Casper Esmann",My Love Mine All Mine (Acoustic Instrumental),33,133922,False,1,my love mine all mine - acoustic instrumental
742ZnC1OgUGIScdzXEy5ui,acoustic,acoustic,Ling tosite sigure,#4,14,238146,False,1,acoustic
3vpJdk93GzerZnlou6Ua0z,beautiful things - acoustic,acoustic,Benson Boone,Daydream,0,201248,False,1,beautiful things - acoustic
42qGA2116mkpSAaxzQfjEf,landslide,acoustic,"Guus Dielissen, Andrew Gialanella",Landslide,29,199222,False,1,landslide
0OHHcoyrWnkVukc911UeZd,acoustic,acoustic,Sonido de Agua en Bambu,Agua,15,129250,False,1,acoustic
64zEnxASl3epPAIH4MsmSw,acoustic energy vibrations,acoustic,"Healing Solfeggio Frequencies, Harmony Touch",528: Mind & Body Healing,45,118331,False,0,acoustic energy vibrations
1okbqCnEzl9GUddnjNkb19,little lies,acoustic,Roses & Frey,Little Lies,39,197851,False,0,little lies
5Ix5RkjIO1r3gL0NH2KpqK,acoustic,acoustic,The Re-Stoned,Plasma,8,356870,False,3,acoustic
0i49QlMEbbbax1gZe2qQzm,too good at goodbyes - acoustic,acoustic,Sam Smith,Hear The Pride,0,220095,False,1,too good at goodbyes - acoustic
5hzQ0nwJMFTXbNZmjioxJ1,the one (acoustic cover),acoustic,The Moon Loungers,The One (Acoustic Cover),25,241115,False,1,the one (acoustic cover)
0vZAmULYfcNCsB5B2fNEvK,acoustic,acoustic,"Lesfm, Olexy",Acoustic,5,156654,False,1,acoustic
7F1CiKqrY44kh5cDqwHOnx,love is gone - acoustic,acoustic,"SLANDER, Dylan Matthew",Love Is Gone (Acoustic),71,176971,False,0,love is gone - acoustic
1RnvWJ0pW0yhk25gQVWb3M,what if - acoustic sessions,acoustic,Cody Fry,Acoustic Sessions - Live From Nashville,25,245933,False,3,what if - acoustic sessions
76QqtzlnTzVTEWhBRnDinW,acoustic,acoustic,Mortal Treason,A Call To The Martyrs,3,213693,False,1,acoustic
